Date,Close
1/2/2012,1.296008
1/3/2012,1.294096
1/4/2012,1.305602
1/5/2012,1.293142
1/6/2012,1.279607
1/9/2012,1.268038
1/10/2012,1.277596
1/11/2012,1.275185
1/12/2012,1.272394
1/13/2012,1.282051
1/16/2012,1.264702
1/17/2012,1.266705
1/18/2012,1.2746
1/19/2012,1.286604
1/20/2012,1.296496
1/23/2012,1.288477
1/24/2012,1.302694
1/25/2012,1.304104
1/26/2012,1.310736
1/27/2012,1.309278
1/30/2012,1.320795
1/31/2012,1.313957
2/1/2012,1.307702
2/2/2012,1.317003
2/3/2012,1.313715
2/6/2012,1.312715
2/7/2012,1.312164
2/8/2012,1.324854
2/9/2012,1.324854
2/10/2012,1.327845
2/13/2012,1.323679
2/14/2012,1.315789
2/15/2012,1.31337
2/16/2012,1.305807
2/17/2012,1.31268
2/20/2012,1.322716
2/21/2012,1.320481
2/22/2012,1.324328
2/23/2012,1.325574
2/24/2012,1.337363
2/27/2012,1.346711
2/28/2012,1.340662
2/29/2012,1.3478
3/1/2012,1.33209
3/2/2012,1.332268
3/5/2012,1.318618
3/6/2012,1.322576
3/7/2012,1.312336
3/8/2012,1.313991
3/9/2012,1.327492
3/12/2012,1.312508
3/13/2012,1.316829
3/14/2012,1.308044
3/15/2012,1.302253
3/16/2012,1.307873
3/19/2012,1.317714
3/20/2012,1.322926
3/21/2012,1.323767
3/22/2012,1.321877
3/23/2012,1.320481
3/26/2012,1.328304
3/27/2012,1.336005
3/28/2012,1.332871
3/29/2012,1.332623
3/30/2012,1.331381
4/2/2012,1.335827
4/3/2012,1.333333
4/4/2012,1.322524
4/5/2012,1.314406
4/6/2012,1.306506
4/9/2012,1.307908
4/10/2012,1.311131
4/11/2012,1.30736
4/12/2012,1.311992
4/13/2012,1.318913
4/16/2012,1.305653
4/17/2012,1.31268
4/18/2012,1.313543
4/19/2012,1.311992
4/20/2012,1.314579
4/23/2012,1.320481
4/24/2012,1.315201
4/25/2012,1.319784
4/26/2012,1.323276
4/27/2012,1.319087
4/30/2012,1.324152
5/1/2012,1.323977
5/2/2012,1.323977
5/3/2012,1.314752
5/4/2012,1.315616
5/7/2012,1.297034
5/8/2012,1.306165
5/9/2012,1.299545
5/10/2012,1.293661
5/11/2012,1.293494
5/14/2012,1.28999
5/15/2012,1.283203
5/16/2012,1.273561
5/17/2012,1.273075
5/18/2012,1.269841
5/21/2012,1.277302
5/22/2012,1.281066
5/23/2012,1.266464
5/24/2012,1.256124
5/25/2012,1.253604
5/28/2012,1.256913
5/29/2012,1.252505
5/30/2012,1.247816
5/31/2012,1.237471
6/1/2012,1.236247
